epoch,accuracy,loss,val_accuracy,val_loss
0,0.27040740847587585,1.8759308082792494,0.4132777750492096,1.539957137213813
1,0.4027037024497986,1.5660714522114507,0.4812222123146057,1.406048116048177
2,0.46174073219299316,1.4274015177620782,0.5187222361564636,1.2813408073849148
3,0.497814804315567,1.350460827898096,0.5404999852180481,1.2378478260040284
4,0.525259256362915,1.280582978743094,0.5684999823570251,1.1811658223470052
5,0.5479999780654907,1.224386503290247,0.5861111283302307,1.1379971929126316
6,0.5647777915000916,1.1842983837127685,0.5968888998031616,1.108937787691752
7,0.5825926065444946,1.1418909530286436,0.6060000061988831,1.0725737600326537
8,0.5988888740539551,1.1042055817003604,0.6233888864517212,1.0450075181325276
9,0.6135925650596619,1.075644289829113,0.6242777705192566,1.039860127766927
10,0.6274444460868835,1.0352038641329164,0.6370555758476257,1.0200557130177816
11,0.6380741000175476,1.010747052722507,0.6362777948379517,1.0193088608847725
12,0.6478888988494873,0.9862460630911368,0.6456666588783264,0.9854727169672648
13,0.6557407379150391,0.9584374930063884,0.6506111025810242,0.9775787393781874
14,0.6629999876022339,0.9455265814463297,0.6460555791854858,0.9895627485911052
15,0.6644444465637207,0.9287220941472937,0.6520000100135803,0.9763130082554288
16,0.6788889169692993,0.8980972761754636,0.6553333401679993,0.9738428530163236
17,0.6847037076950073,0.87367146147622,0.6627777814865112,0.9530509880913628
18,0.6885185241699219,0.8728025437637612,0.6627222299575806,0.965152983241611
19,0.6978148221969604,0.8419621217868947,0.6587222218513489,0.9669459790123833
20,0.7004814743995667,0.8368319821357727,0.660277783870697,0.9741291019651624
21,0.7064074277877808,0.8192513234880235,0.663611114025116,0.965622036880917
22,0.7059999704360962,0.817169689408055,0.660444438457489,0.9823214908175998
23,0.7117037177085876,0.7921095567809211,0.6623333096504211,0.9950895232094659
24,0.7164815068244934,0.7859591031780949,0.6612777709960938,0.9961821885638766
25,0.7194444537162781,0.7810887955736231,0.6617222428321838,0.9875534088346694
26,0.7228518724441528,0.7685239407398082,0.6643333435058594,0.9903640205065409
27,0.726111114025116,0.7495510269977428,0.6661666631698608,0.9736712759865654
28,0.7346296310424805,0.7388885483741761,0.6672222018241882,0.9910036257637872
29,0.7411110997200012,0.7185510311833134,0.6675000190734863,0.9975343391630385
30,0.7391852140426636,0.720906388812595,0.6648889183998108,0.9994887613720363
31,0.7385185360908508,0.7207424007345129,0.6707777976989746,1.001605591138204
32,0.7461110949516296,0.6964559296855221,0.6648333072662354,1.0016317848629421
33,0.7454814910888672,0.6882662523057725,0.6700555682182312,1.0282314961751302
34,0.7464073896408081,0.6936591264760052,0.660111129283905,1.038307349205017
35,0.7531852126121521,0.6764869897983692,0.667555570602417,1.0486375782224866
36,0.7532592415809631,0.6719324306735286,0.6697221994400024,1.0236017198562621
37,0.7577037215232849,0.6609786994192335,0.6643333435058594,1.0491158192422654
38,0.7617777585983276,0.6589782332314386,0.6664444208145142,1.041061143875122
39,0.7624444365501404,0.6527787929287663,0.6632221937179565,1.056971266746521
40,0.7678889036178589,0.6358746217091878,0.660611093044281,1.0741701687706842
41,0.7649629712104797,0.6421239499515957,0.6696110963821411,1.062286097208659
42,0.7692962884902954,0.624542038458365,0.6650555729866028,1.0914663472705417
43,0.7718148231506348,0.6222469373455755,0.6652222275733948,1.10167122247484
44,0.7739999890327454,0.6230478686226739,0.6676111221313477,1.1054762258529662
45,0.774481475353241,0.6143031615327905,0.659500002861023,1.1238267834981281
46,0.7751481533050537,0.607449264102512,0.6646111011505127,1.115301397482554
47,0.7742592692375183,0.6132498915990193,0.6627777814865112,1.155360003789266
48,0.7779629826545715,0.6020246155526903,0.6648889183998108,1.1462356890042622
49,0.7812222242355347,0.5913677669984323,0.6649444699287415,1.1553810563617282
